CD_IMOVEL;SETOR;CIDADE;COD_DESTINACAO_IMOVEL;ANO_VENDA;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_MAXIMA;AREA;QTD_OFERTAS
808544;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;2;56;54500;130000;66.5;95;47.5;2
808545;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;2;57;56500;60500;69.244;98.92;49.46;1
808585;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;2;58;81000;122500;104.734;149.62;74.81;1
808586;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;2;59;56900;101000;69.86;99.8;49.9;4
808587;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;2020;2;60;54500;130000;66.5;95;47.5;3
167192;QS-SAMAMBAIA;SAMAMBAIA;60217;2020;2;63;149000;194150;200;350;100;1
168335;QS-SAMAMBAIA;SAMAMBAIA;60217;2020;2;64;149000;175000;200;350;100;2
80351;QI-SAMAMBAIA;SAMAMBAIA;60218;2020;2;65;3540000;3600100;6450;9675;3225;1
79749;QN-SAMAMBAIA;SAMAMBAIA;60219;2020;2;66;401000;510100;750;1125;375;3
185155;QS-SAMAMBAIA;SAMAMBAIA;60219;2020;2;68;147000;147450;289;433.5;144.5;1
524728;AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;2020;2;72;163000;165500.99;560;560;280;1
524779;AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;2020;2;73;211000;279950;747;747;373.5;2
810395;BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;2020;2;80;292000;292015;714.651;779.619;259.873;1
810396;BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;2020;2;81;343000;346900;825.446;900.486;300.162;2
810399;BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;2020;2;82;343000;345009;826.092;901.191;300.397;2
810400;BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;2020;2;83;559000;567500;1335.956;1457.406;485.802;4
810414;BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;2020;2;84;418000;426000;997.282;1087.944;362.648;1
58166;SETOR DE RESIDENCIAS ECONOMICAS SUL          ;BRASILIA;1641;2020;3;3;0;6322000;1200;1200;1000;1
807155;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;1894;2020;3;3;6290000;6322000;2286;2286;900;1
22182;SETOR DE HABITACOES INDIVIDUAIS SUL          ;BRASILIA;60212;2020;3;5;6220000;7221000;7680;7680;9600;3
210359;SETOR DE HABITACOES INDIVIDUAIS NORTE        ;BRASILIA;60220;2020;3;5;3570000;7221000;1560;2340;1950;3
63466;SETOR M NORTE-QUADRA COMERCIAL               ;CEILANDIA;60217;2020;3;6;393300;4511000;445.5;1113.75;222.75;17
63479;SETOR N NORTE-QUADRA COMERCIAL               ;CEILANDIA;60217;2020;3;7;643000;651000;800;2000;400;2
155194;SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;2020;3;8;381000;541100;808.5;1212.75;404.25;2
493461;SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60227;2020;3;9;217000;231000;700;700;350;1
55525;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;3;10;74600;97850;315;315;210;2
183115;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;3;11;74600;100500;315;315;210;3
183116;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;3;12;74600;100500;315;315;210;3
183117;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;3;13;74600;97850;315;315;210;2
183118;SETOR INDUSTRIAL I                           ;CEILANDIA;60225;2020;3;14;74600;97850;315;315;210;2
507098;SETOR DE MULTIPLAS ATIVIDADES;GAMA;60224;2020;3;17;183000;190100.9;191.01;305.616;191.01;1
594661;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;18;319000;326900;580.248;580.248;241.77;1
594673;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;19;245000;265010;427.944;427.944;178.31;1
594681;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;20;245000;265500.5;427.944;427.944;178.31;2
594852;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;21;201000;301777.77;345.6;345.6;144;5
595150;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;22;224000;245000;388.8;388.8;162;4
595151;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;23;230000;267000;399.6;399.6;166.5;2
595152;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;24;230000;268770;399.6;399.6;166.5;2
595153;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;2020;3;25;224000;249000;388.8;388.8;162;2
594820;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60215;2020;3;26;201000;345000.96;345.648;345.648;144.02;2
594195;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60217;2020;3;27;4189000;4377000;5018.22;5018.22;1672.74;1
559325;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;3;30;400000;451100;1287.465;1287.465;858.31;9
559340;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;3;31;381000;441100;1200;1200;800;9
559616;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;3;31;381000;441100;1200;1200;800;9
559203;SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;2020;3;32;491000;601000.3;1260.705;1260.705;840.47;1
807390;PARANOÁ PARQUE;PARANOA;60221;2020;3;38;946000;1000100;1800.007;3240.013;1800.007;1
807393;PARANOÁ PARQUE;PARANOA;60221;2020;3;39;888000;888000;1800.005;3240.009;1800.005;1
807394;PARANOÁ PARQUE;PARANOA;60221;2020;3;40;888000;888000;1800.005;3240.009;1800.005;1
510331;SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;2020;3;40;445000;888000;700.4;700.4;875.5;1
472455;AREA DE DESENVOLVIMENTO ECONOMICO;RECANTO DAS EMAS;60227;2020;3;48;143000;143770;451.8;451.8;112.95;1
472460;AREA DE DESENVOLVIMENTO ECONOMICO;RECANTO DAS EMAS;60227;2020;3;49;245070;301000.5;451.8;451.8;112.95;3
809005;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;3;55;308000;360000;438.676;940.02;313.34;1
809006;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;3;56;309000;356000;439.586;941.97;313.99;1
808962;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;3;65;432000;701000;647.234;1386.93;462.31;6
808963;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;3;66;432000;901000;645.61;1383.45;461.15;8
819082;HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;2020;3;67;105000;107000;127.4;273;91;1
