DS_SETOR;DS_CIDADE;COD_DESTINACAO_IMOVEL;EDITAL_VENDA;ITEM_EDITAL;VALOR_LAUDO;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS;SITUACAO_VISTORIA;AGIO_ABSOLUTO;AGIO_PERCENTUAL
QN-SAMAMBAIA;SAMAMBAIA;60219;01/2021;67;66400;70101.5;300.0;200.0;100.0;1;VAGO;3701.5;5.5745481927710845
QR-SAMAMBAIA;SAMAMBAIA;60219;01/2021;71;91400;122999.99;150.0;100.0;50.0;1;VAGO;31599.990000000005;34.573293216630205
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2021;79;109000;130000.0;300.0;200.0;100.0;2;VAGO;21000.0;19.26605504587156
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2021;80;109000;113013.07;300.0;200.0;100.0;1;VAGO;4013.070000000007;3.6817155963302817
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2021;81;66400;75000.0;300.0;200.0;100.0;3;VAGO;8600.0;12.951807228915662
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2021;85;66400;68400.0;300.0;200.0;100.0;1;VAGO;2000.0;3.0120481927710845
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2021;86;66400;66500.0;300.0;200.0;100.0;1;VAGO;100.0;0.15060240963855423
QN-SAMAMBAIA;SAMAMBAIA;60220;01/2021;88;66400;69000.0;300.0;200.0;100.0;1;VAGO;2600.0;3.91566265060241
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;89;109000;150000.0;300.0;200.0;100.0;7;VAGO;41000.0;37.61467889908257
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;90;109000;138900.0;300.0;200.0;100.0;5;VAGO;29900.0;27.431192660550458
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;91;66400;76440.0;300.0;200.0;100.0;5;VAGO;10040.0;15.120481927710843
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;92;66400;76510.0;300.0;200.0;100.0;4;VAGO;10110.0;15.225903614457831
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;93;66400;76440.0;300.0;200.0;100.0;3;VAGO;10040.0;15.120481927710843
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;94;66400;76440.0;300.0;200.0;100.0;3;VAGO;10040.0;15.120481927710843
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;95;66400;76410.0;300.0;200.0;100.0;1;VAGO;10010.0;15.075301204819278
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;96;66400;80100.0;300.0;200.0;100.0;5;VAGO;13700.0;20.632530120481928
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;97;66400;80000.0;300.0;200.0;100.0;4;VAGO;13600.0;20.481927710843372
QS-SAMAMBAIA;SAMAMBAIA;60220;01/2021;98;66400;80000.0;300.0;200.0;100.0;3;VAGO;13600.0;20.481927710843372
SANTA MARIA                                  ;SANTA MARIA;60222;01/2021;104;1410000;1815000.0;7580.17;4081.63;2915.45;1;VAGO;405000.0;28.723404255319153
SANTA MARIA                                  ;SANTA MARIA;60222;01/2021;105;343000;400000.0;2288.0;1232.0;880.0;3;OCUPADO;57000.0;16.61807580174927
BAIRRO RESIDENCIAL OESTE;SAO SEBASTIAO;60216;01/2021;107;728000;731000.99;1927.503;1606.253;642.501;1;OBSTRUIDO;3000.9899999999907;0.41222390109889984
BAIRRO RESIDENCIAL OESTE;SAO SEBASTIAO;60216;01/2021;108;684000;724065.44;1806.339;1505.283;602.113;2;OBSTRUIDO;40065.439999999944;5.857520467836249
BAIRRO RESIDENCIAL OESTE;SAO SEBASTIAO;60216;01/2021;109;687000;701000.99;1816.551;1513.793;605.517;1;OBSTRUIDO;14000.98999999999;2.0379898107714687
SETOR INDUSTRIAL                             ;SOBRADINHO;60224;01/2021;115;512000;531000.0;1400.0;1400.0;700.0;1;CERCADO;19000.0;3.7109375
SETOR INDUSTRIAL                             ;SOBRADINHO;60224;01/2021;116;512000;531000.0;1400.0;1400.0;700.0;1;EM CONSTRUCAO;19000.0;3.7109375
SETOR INDUSTRIAL                             ;SOBRADINHO;60224;01/2021;117;512000;561000.0;1400.0;1400.0;700.0;1;EM CONSTRUCAO;49000.0;9.5703125
SETOR M NORTE-QUADRA RESIDENCIAL             ;TAGUATINGA;60214;01/2021;118;143000;204100.0;256.0;256.0;128.0;5;VAGO;61100.0;42.72727272727273
SETOR M NORTE-QUADRA RESIDENCIAL             ;TAGUATINGA;60214;01/2021;119;143000;150000.0;256.0;256.0;128.0;1;OCUPADO;7000.0;4.895104895104895
SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;60598;02/2021;2;157000;180000.0;15.0;15.0;15.0;2;OCUPADO;23000.0;14.64968152866242
SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;BRASILIA;60598;02/2021;3;157000;180000.0;15.0;15.0;15.0;4;OCUPADO;23000.0;14.64968152866242
SETOR M NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60217;02/2021;5;2410000;2508000.0;7862.28;2620.76;1310.38;1;OBSTRUIDO;98000.0;4.066390041493776
SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;02/2021;6;418000;501000.5;1386.0;924.0;462.0;3;VAGO;83000.5;19.856578947368423
SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;02/2021;7;353000;401000.5;1134.0;756.0;378.0;2;OBSTRUIDO;48000.5;13.59787535410765
SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;02/2021;8;353000;382990.0;1134.0;756.0;378.0;1;OCUPADO;29990.0;8.495750708215297
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2021;9;234000;350000.0;380.76;380.76;158.65;32;VAGO;116000.0;49.572649572649574
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2021;10;245000;351900.0;399.6;399.6;166.5;34;VAGO;106900.0;43.63265306122449
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;02/2021;11;214000;358213.0;345.6;345.6;144.0;38;VAGO;144213.0;67.3892523364486
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60221;02/2021;15;1390000;1603000.0;3600.0;2700.0;900.0;1;VAGO;213000.0;15.323741007194243
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60222;02/2021;17;1390000;1603000.0;3600.0;2700.0;900.0;1;VAGO;213000.0;15.323741007194243
SETOR COMPLEMENTAR INDUSTRIA E ABASTECIMENTO;GUARA;60224;02/2021;18;1910000;1911000.0;2352.0;2016.0;1120.0;1;OCUPADO;1000.0;0.052356020942408384
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;20;489000;635000.0;1200.0;1200.0;800.0;9;VAGO;146000.0;29.85685071574642
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;21;489000;713713.13;1200.0;1200.0;800.0;6;VAGO;224713.13;45.953605316973416
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;22;489000;687370.0;1200.0;1200.0;800.0;9;VAGO;198370.0;40.56646216768916
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;23;489000;706000.0;1200.0;1200.0;800.0;7;VAGO;217000.0;44.376278118609406
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;24;489000;571510.5;1200.0;1200.0;800.0;2;VAGO;82510.5;16.87331288343558
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;25;489000;706370.0;1200.0;1200.0;800.0;13;VAGO;217370.0;44.4519427402863
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;26;501000;657000.0;1461.42;1461.42;974.28;3;VAGO;156000.0;31.137724550898206
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;27;492000;543910.0;1432.545;1432.545;955.03;3;VAGO;51910.0;10.550813008130081
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;28;426000;687370.0;1200.0;1200.0;800.0;13;EM CONSTRUCAO;261370.0;61.35446009389671
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;02/2021;29;465000;616500.0;1337.94;1337.94;891.96;6;VAGO;151500.0;32.58064516129032
PARANOÁ PARQUE;PARANOA;60221;02/2021;32;787000;842000.0;2993.407;1663.004;1663.004;1;VAGO;55000.0;6.98856416772554
PARANOÁ PARQUE;PARANOA;60221;02/2021;33;795000;850000.0;3037.511;1687.506;1687.506;1;VAGO;55000.0;6.918238993710692
PARANOÁ PARQUE;PARANOA;60221;02/2021;35;787000;799990.0;2993.411;1663.006;1663.006;1;VAGO;12990.0;1.6505717916137232
SETOR RESIDENCIAL LESTE (URB-040/2015);PLANALTINA;60216;02/2021;36;124000;521101.99;480.0;360.0;200.0;8;OCUPADO;397101.99;320.24354032258066
EXPANSÃO DO SETOR RESIDENCIAL LESTE;PLANALTINA;60216;02/2021;37;69000;70000.0;200.0;200.0;100.0;1;VAGO;1000.0;1.4492753623188406
EXPANSÃO DO SETOR RESIDENCIAL LESTE;PLANALTINA;60216;02/2021;38;69000;78901.99;200.0;200.0;100.0;4;VAGO;9901.990000000005;14.350710144927545
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;02/2021;39;28500;41106.0;82.5;82.5;41.25;5;SITUACAO NAO CADASTRADA;12606.0;44.23157894736842
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2021;47;308000;508500.0;944.37;440.706;314.79;13;VAGO;200500.0;65.09740259740259
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2021;48;120000;165000.0;315.0;147.0;105.0;7;VAGO;45000.0;37.5
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2021;49;120000;135000.0;315.0;147.0;105.0;3;OBSTRUIDO;15000.0;12.5
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2021;50;230000;235990.0;675.0;315.0;225.0;1;OCUPADO;5990.0;2.6043478260869564
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;02/2021;51;120000;221000.0;315.0;147.0;105.0;3;OCUPADO;101000.0;84.16666666666667
CENTRO URBANO;SAMAMBAIA;60217;02/2021;56;7350000;7361000.0;15939.525;9108.3;4554.15;1;VAGO;11000.0;0.14965986394557823
QN-SAMAMBAIA;SAMAMBAIA;60219;02/2021;68;109000;126440.0;300.0;200.0;100.0;1;VAGO;17440.0;16.0
QN-SAMAMBAIA;SAMAMBAIA;60220;02/2021;75;147000;251117.0;450.0;300.0;150.0;2;VAGO;104117.0;70.82789115646258
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;76;137000;200000.0;750.0;500.0;250.0;1;VAGO;63000.0;45.98540145985402
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;77;137000;161900.0;750.0;500.0;250.0;2;VAGO;24900.0;18.175182481751825
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;78;66400;101301.0;300.0;200.0;100.0;5;EM CONSTRUCAO;34901.0;52.56174698795181
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;79;66400;81202.0;300.0;200.0;100.0;3;VAGO;14802.0;22.292168674698797
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;80;66400;81550.0;300.0;200.0;100.0;2;VAGO;15150.0;22.816265060240966
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;81;66400;81550.0;300.0;200.0;100.0;2;VAGO;15150.0;22.816265060240966
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;82;257000;262040.0;1500.0;1000.0;500.0;1;VAGO;5040.0;1.961089494163424
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;89;67500;68300.0;307.5;205.0;102.5;1;VAGO;800.0;1.1851851851851851
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;92;113000;115900.0;600.0;400.0;200.0;1;VAGO;2900.0;2.566371681415929
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;93;113000;121200.0;600.0;400.0;200.0;1;VAGO;8200.0;7.256637168141593
QS-SAMAMBAIA;SAMAMBAIA;60220;02/2021;94;113000;117990.0;600.0;400.0;200.0;1;VAGO;4990.0;4.4159292035398225
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;02/2021;95;367000;375000.0;1457.0;1457.0;728.5;2;OCUPADO;8000.0;2.17983651226158
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60225;02/2021;96;186000;276599.0;705.5;705.5;352.75;3;CONSTRUIDO;90599.0;48.70913978494624
SANTA MARIA                                  ;SANTA MARIA;60216;02/2021;97;62600;85003.31;182.25;94.5;67.5;3;OCUPADO;22403.309999999998;35.78803514376997
SANTA MARIA                                  ;SANTA MARIA;60227;02/2021;99;105000;123302.8;518.4;288.0;288.0;1;OCUPADO;18302.800000000003;17.431238095238097
BAIRRO AGUAS CLARAS;TAGUATINGA;60222;03/2021;1;5350000;17373897.26;7200.0;2160.0;3600.0;7;OCUPADO;12023897.260000002;224.74574317757012
SETOR N NORTE-QUADRA COMERCIAL               ;CEILANDIA;60217;03/2021;6;383000;2350100.0;1113.75;445.5;222.75;15;OBSTRUIDO;1967100.0;513.603133159269
SETOR O NORTE-ENTREQUADRA                    ;CEILANDIA;60222;03/2021;15;156000;234000.0;600.0;300.0;150.0;2;VAGO;78000.0;50.0
SETOR COMPLEMENTAR INDUSTRIA E ABASTECIMENTO;GUARA;60224;03/2021;16;1170000;1174200.0;1368.57;1173.06;651.7;2;OCUPADO;4200.0;0.358974358974359
SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;03/2021;17;435000;721058.51;640.0;640.0;800.0;32;SITUACAO NAO CADASTRADA;286058.51;65.76057701149426
SETOR DE OFICINAS E PEQUENAS INDUSTRIAS      ;NUCLEO BANDEIRANTE;60227;03/2021;19;289080;502000.0;575.0;425.0;250.0;10;CONSTRUIDO;212920.0;73.65435173654352
PARANOÁ PARQUE;PARANOA;60221;03/2021;20;1820000;2421000.0;6083.118;3379.51;3379.51;4;VAGO;601000.0;33.02197802197802
EXPANSÃO DO SETOR RESIDENCIAL LESTE;PLANALTINA;60216;03/2021;21;69000;80000.0;200.0;200.0;100.0;2;VAGO;11000.0;15.942028985507244
EXPANSÃO DO SETOR RESIDENCIAL LESTE;PLANALTINA;60216;03/2021;22;69000;80000.0;200.0;200.0;100.0;2;VAGO;11000.0;15.942028985507244
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;03/2021;23;41400;48201.1;120.0;120.0;60.0;3;VAGO;6801.0999999999985;16.427777777777774
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;03/2021;24;41400;50010.0;120.0;120.0;60.0;2;VAGO;8610.0;20.797101449275363
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;03/2021;25;41400;60000.0;120.0;120.0;60.0;5;VAGO;18600.0;44.927536231884055
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;03/2021;26;41400;44000.0;120.0;120.0;60.0;3;VAGO;2600.0;6.280193236714976
SETOR RESIDENCIAL LESTE (SRL);PLANALTINA;60216;03/2021;27;41400;41400.0;120.0;120.0;60.0;1;VAGO;0.0;0.0
RECANTO DAS EMAS;RECANTO DAS EMAS;60216;03/2021;29;163000;210000.0;352.0;316.8;176.0;6;VAGO;47000.0;28.834355828220858
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2021;30;403000;511000.0;1125.0;525.0;375.0;2;VAGO;108000.0;26.799007444168733
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2021;31;342000;473322.41;929.97;433.986;309.99;3;OBSTRUIDO;131322.40999999997;38.398365497076014
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2021;32;344000;568980.0;935.16;436.408;311.72;4;VAGO;224980.0;65.40116279069767
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2021;33;341000;451100.0;928.68;433.384;309.56;3;VAGO;110100.0;32.287390029325515
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2021;34;344000;490000.0;935.43;436.534;311.81;3;VAGO;146000.0;42.44186046511628
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;03/2021;35;343000;521000.0;933.96;435.848;311.32;7;VAGO;178000.0;51.89504373177842
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;03/2021;36;131000;155000.0;99.34;69.538;49.67;1;OBSTRUIDO;24000.0;18.3206106870229
CENTRO URBANO;SAMAMBAIA;60217;03/2021;48;436000;480000.0;779.19;519.46;259.73;1;VAGO;44000.0;10.091743119266056
CENTRO URBANO;SAMAMBAIA;60217;03/2021;49;433000;480000.0;772.92;515.28;257.64;1;VAGO;47000.0;10.854503464203233
QS-SAMAMBAIA;SAMAMBAIA;60218;03/2021;53;239000;261600.0;1600.0;800.0;400.0;2;VAGO;22600.0;9.456066945606695
QN-SAMAMBAIA;SAMAMBAIA;60219;03/2021;54;358000;368100.0;1012.17;674.78;337.39;1;OBSTRUIDO;10100.0;2.82122905027933
QN-SAMAMBAIA;SAMAMBAIA;60220;03/2021;61;90900;90900.0;225.0;150.0;75.0;2;VAGO;0.0;0.0
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;65;109000;143008.17;300.0;200.0;100.0;2;VAGO;34008.17000000001;31.200155963302763
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;66;109000;143008.17;300.0;200.0;100.0;3;VAGO;34008.17000000001;31.200155963302763
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;67;109000;143008.17;300.0;200.0;100.0;2;VAGO;34008.17000000001;31.200155963302763
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;68;109000;135050.0;300.0;200.0;100.0;3;VAGO;26050.0;23.89908256880734
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;69;66400;102513.13;300.0;200.0;100.0;4;VAGO;36113.130000000005;54.38724397590362
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;70;66400;102513.13;300.0;200.0;100.0;5;VAGO;36113.130000000005;54.38724397590362
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;71;66400;102513.13;300.0;200.0;100.0;7;VAGO;36113.130000000005;54.38724397590362
QS-SAMAMBAIA;SAMAMBAIA;60220;03/2021;72;89500;94000.1;450.0;300.0;150.0;1;OBSTRUIDO;4500.100000000006;5.028044692737437
QI-SAMAMBAIA;SAMAMBAIA;60227;03/2021;74;117000;125027.99;200.0;200.0;100.0;2;OBSTRUIDO;8027.990000000005;6.861529914529919
QI-SAMAMBAIA;SAMAMBAIA;60227;03/2021;75;117000;120000.0;200.0;200.0;100.0;1;OCUPADO;3000.0;2.564102564102564
BAIRRO AGUAS CLARAS;TAGUATINGA;60219;04/2021;1;800000;919900.0;816.0;408.0;408.0;2;OCUPADO;119900.0;14.9875
SETOR P NORTE-ENTREQUADRA                    ;CEILANDIA;60216;04/2021;5;65700;75570.0;180.0;90.0;45.0;2;VAGO;9870.0;15.02283105022831
SETOR O NORTE-QUADRA RESIDENCIAL             ;CEILANDIA;60219;04/2021;10;353000;354000.0;1134.0;756.0;378.0;1;OBSTRUIDO;1000.0;0.28328611898017
SETOR DE DESENVOLVIMENTO ECONOMICO CENTRO NORTE;CEILANDIA;60224;04/2021;14;185000;252000.0;600.0;600.0;300.0;4;OCUPADO;67000.0;36.21621621621622
SETOR DE MATERIAL DE CONSTRUCAO              ;CEILANDIA;60225;04/2021;15;291000;438855.0;2100.0;2100.0;1050.0;4;CERCADO;147855.0;50.80927835051546
SETOR DE MATERIAL DE CONSTRUCAO              ;CEILANDIA;60225;04/2021;16;256000;431800.0;1800.0;1800.0;900.0;1;OCUPADO;175800.0;68.671875
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;04/2021;17;225000;370000.0;345.6;345.6;144.0;13;OCUPADO;145000.0;64.44444444444444
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;04/2021;18;225000;375750.0;345.6;345.6;144.0;14;VAGO;150750.0;67.0
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;04/2021;19;274000;415200.0;427.944;427.944;178.31;9;OCUPADO;141200.0;51.53284671532846
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60214;04/2021;20;238000;361000.0;366.552;366.552;152.73;10;VAGO;123000.0;51.68067226890757
SETOR RESID INDUSTRIA E ABASTECIMENTO        ;GUARA;60215;04/2021;21;225000;401999.0;345.6;345.6;144.0;11;VAGO;176999.0;78.66622222222223
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;04/2021;23;422000;633339.0;1223.64;1223.64;815.76;21;CONSTRUIDO;211339.0;50.08033175355451
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;04/2021;24;498000;628300.0;1365.255;1365.255;910.17;6;VAGO;130300.0;26.164658634538153
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60214;04/2021;25;485000;751100.0;1323.27;1323.27;882.18;18;VAGO;266100.0;54.865979381443296
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60221;04/2021;26;1770000;2010000.0;3600.0;3600.0;1000.0;1;VAGO;240000.0;13.559322033898304
SETOR HABITACIONAL JARDIM BOTANICO;SAO SEBASTIAO;60221;04/2021;28;496000;525910.99;600.0;600.0;400.0;3;VAGO;29910.98999999999;6.030441532258063
SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;04/2021;29;507000;677000.0;696.464;696.464;870.58;3;OCUPADO;170000.0;33.53057199211045
SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;04/2021;30;574000;575000.0;823.4;823.4;1029.25;1;OCUPADO;1000.0;0.17421602787456447
SETOR HABITACIONAL TAQUARI;LAGO NORTE;60211;04/2021;31;477000;582000.0;636.4;636.4;795.5;6;OCUPADO;105000.0;22.0125786163522
SETOR INDUSTRIAL BERNARDO SAYAO              ;NUCLEO BANDEIRANTE;60224;04/2021;32;1350000;1691000.0;2100.0;2100.0;1000.0;3;CERCADO;341000.0;25.25925925925926
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;35;490000;571975.0;1350.0;630.0;450.0;2;VAGO;81975.0;16.729591836734695
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;39;490000;550000.0;1350.0;630.0;450.0;1;VAGO;60000.0;12.244897959183673
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;41;122000;155000.0;273.0;127.4;91.0;3;VAGO;33000.0;27.049180327868854
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;42;122000;140000.0;273.0;127.4;91.0;1;VAGO;18000.0;14.754098360655737
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;44;122000;123550.0;273.0;127.4;91.0;2;VAGO;1550.0;1.2704918032786885
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;48;122000;122000.0;273.0;127.4;91.0;2;VAGO;0.0;0.0
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;50;122000;160001.99;273.0;127.4;91.0;4;VAGO;38001.98999999999;31.149172131147534
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;51;122000;147300.0;273.0;127.4;91.0;2;VAGO;25300.0;20.737704918032787
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;52;122000;143000.0;273.0;127.4;91.0;2;VAGO;21000.0;17.21311475409836
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;53;122000;143000.0;273.0;127.4;91.0;1;VAGO;21000.0;17.21311475409836
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60217;04/2021;54;122000;171000.0;273.0;127.4;91.0;3;VAGO;49000.0;40.16393442622951
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60222;04/2021;59;63000;71000.09;103.66;72.562;51.83;3;VAGO;8000.0899999999965;12.698555555555549
HABITACIONAL RIACHO FUNDO II;RIACHO FUNDO II;60224;04/2021;62;952000;1001095.87;1599.5;1599.5;1142.5;1;VAGO;49095.869999999995;5.1571292016806725
ADE OESTE - EXPANSÃO RESIDENCIAL OESTE DE SAMAMBAIA;SAMAMBAIA;60215;04/2021;63;70800;123800.0;256.14;256.14;128.07;1;OCUPADO;53000.0;74.85875706214689
ADE OESTE - EXPANSÃO RESIDENCIAL OESTE DE SAMAMBAIA;SAMAMBAIA;60215;04/2021;66;68900;128950.08;247.14;247.14;123.57;3;OCUPADO;60050.08;87.15541364296081
QS-SAMAMBAIA;SAMAMBAIA;60217;04/2021;67;143000;201223.0;350.0;200.0;100.0;4;OBSTRUIDO;58223.0;40.715384615384615
QS-SAMAMBAIA;SAMAMBAIA;60217;04/2021;68;143000;172035.0;350.0;200.0;100.0;3;OBSTRUIDO;29035.0;20.304195804195803
QS-SAMAMBAIA;SAMAMBAIA;60217;04/2021;69;143000;153000.0;350.0;200.0;100.0;1;VAGO;10000.0;6.993006993006993
QS-SAMAMBAIA;SAMAMBAIA;60219;04/2021;75;133000;150556.25;300.0;200.0;100.0;2;VAGO;17556.25;13.200187969924812
QS-SAMAMBAIA;SAMAMBAIA;60219;04/2021;81;109000;130440.0;300.0;200.0;100.0;3;VAGO;21440.0;19.6697247706422
QN-SAMAMBAIA;SAMAMBAIA;60220;04/2021;82;66400;86320.1;300.0;200.0;100.0;1;VAGO;19920.100000000006;30.000150602409647
QN-SAMAMBAIA;SAMAMBAIA;60220;04/2021;83;66400;86320.1;300.0;200.0;100.0;1;VAGO;19920.100000000006;30.000150602409647
QN-SAMAMBAIA;SAMAMBAIA;60220;04/2021;85;66400;86320.0;300.0;200.0;100.0;1;VAGO;19920.0;30.0
QN-SAMAMBAIA;SAMAMBAIA;60220;04/2021;86;66400;86320.0;300.0;200.0;100.0;2;VAGO;19920.0;30.0
QS-SAMAMBAIA;SAMAMBAIA;60220;04/2021;87;109000;153600.0;300.0;200.0;100.0;4;VAGO;44600.0;40.91743119266055
AREA DE DESENVOLVIMENTO ECONOMICO SUL;SAMAMBAIA;60227;04/2021;88;113000;123000.0;300.0;300.0;150.0;2;CERCADO;10000.0;8.849557522123893
QR-SAMAMBAIA;SAMAMBAIA;60230;04/2021;89;2220000;2713100.0;225.0;225.0;900.0;2;OCUPADO;493100.0;22.21171171171171
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;04/2021;93;352000;402034.34;916.926;840.516;305.642;4;VAGO;50034.340000000026;14.214301136363645
BAIRRO SÃO BARTOLOMEU;SAO SEBASTIAO;60217;04/2021;94;352000;365000.0;915.87;839.548;305.29;2;VAGO;13000.0;3.6931818181818183
BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60217;06/2021;1;7410000;10117000.0;16266.47;8561.3;4280.65;1;VAGO;2707000.0;36.53171390013495
BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60219;06/2021;2;3790000;4103000.0;7440.0;7440.0;3720.0;1;OCUPADO;313000.0;8.258575197889181
BAIRRO AGUAS CLARAS-QS;TAGUATINGA;60219;06/2021;3;3760000;4103000.0;7376.0;7376.0;3688.0;1;CERCADO;343000.0;9.122340425531915
