CD_IMOVEL;DS_CIDADE;DS_SETOR;COD_DESTINACAO_IMOVEL;DS_DESTINACAO_IMOVEL;TIPO_USO_DESTINACAO;ANO_VENDA;NR_EDITAL;ITEM_EDITAL;VALOR_LAUDO;PERCENTUAL_ENTRADA;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS
819099;RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;60217;UOS CSIIR 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;49;120000;5;135000;315;147;105;3
819100;RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;60217;UOS CSIIR 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;50;230000;5;235990;675;315;225;1
819102;RIACHO FUNDO II;HABITACIONAL RIACHO FUNDO II;60217;UOS CSIIR 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;51;120000;5;221000;315;147;105;3
508188;SAMAMBAIA;CENTRO URBANO;60217;UOS CSIIR 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;56;7350000;5;7361000;15939525;9108.3;4554.15;1
458310;SAMAMBAIA;QN-SAMAMBAIA;60219;UOS CSIIR 1 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;68;109000;5;126440;300;200;100;1
458297;SAMAMBAIA;QN-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;75;147000;5;251117;450;300;150;2
465305;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;76;137000;5;200000;750;500;250;1
465306;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;77;137000;5;161900;750;500;250;2
465880;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;78;66400;5;101301;300;200;100;5
465881;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;79;66400;5;81202;300;200;100;3
465882;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;80;66400;5;81550;300;200;100;2
465883;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;81;66400;5;81550;300;200;100;2
243317;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;82;257000;5;262040;1500;1000;500;1
468771;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;89;67500;5;68300;307.5;205;102.5;1
468785;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;92;113000;5;115900;600;400;200;1
468786;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;93;113000;5;121200;600;400;200;1
468787;SAMAMBAIA;QS-SAMAMBAIA;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;94;113000;5;117990;600;400;200;1
524647;SAMAMBAIA;AREA DE DESENVOLVIMENTO ECONOMICO SUL;60225;UOS CSIIND 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2021;2;95;367000;5;375000;1457;1457;728.5;2
524776;SAMAMBAIA;AREA DE DESENVOLVIMENTO ECONOMICO SUL;60225;UOS CSIIND 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2021;2;96;186000;5;276599;705.5;705.5;352.75;3
526161;SANTA MARIA;SANTA MARIA                                  ;60216;UOS CSIIR 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;97;62600;5;85003.31;182.25;94.5;67.5;3
447116;SANTA MARIA;SANTA MARIA                                  ;60227;UOS CSIINDR - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÁNCIA DE USO NÁO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;2;99;105000;5;123302.8;518.4;288;288;1
208952;TAGUATINGA;BAIRRO AGUAS CLARAS;60222;UOS CSII 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2021;3;1;5350000;5;17373897.26;7200;2160;3600;7
63482;CEILANDIA;SETOR N NORTE-QUADRA COMERCIAL               ;60217;UOS CSIIR 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;3;6;383000;5;2350100;1113.75;445.5;222.75;15
72973;CEILANDIA;SETOR O NORTE-ENTREQUADRA                    ;60222;UOS CSII 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2021;3;15;156000;5;234000;600;300;150;2
527473;GUARA;SETOR COMPLEMENTAR INDUSTRIA E ABASTECIMENTO;60224;UOS CSIIND 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2021;3;16;1170000;5;1174200;1368.57;1173.06;651.7;2
509947;LAGO NORTE;SETOR HABITACIONAL TAQUARI;60211;UOS RE 1 - RESIDENCIAL EXCLUSIVO, NA CATEGORIA HABITAÇÕO UNIFAMILIAR. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS).;Unifamiliar;2021;3;17;435000;5;721058.51;640;640;800;32
164223;NUCLEO BANDEIRANTE;SETOR DE OFICINAS E PEQUENAS INDUSTRIAS      ;60227;UOS CSIINDR - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL, RESIDENCIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, EM LOTES DE MENOR PORTE, SENDO FACULTADO O USO RESIDENCIAL, EXCLUSIVAMENTE NOS PAVIMENTOS SUPERIORES, E CONDICIONADO A EXISTÁNCIA DE USO NÁO RESIDENCIAL. (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;3;19;289080;5;502000;575;425;250;10
807406;PARANOA;PARANOÁ PARQUE;60221;UOS CSII 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS). ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2021;3;20;1820000;5;2421000;6083118;3379.51;3379.51;4
595363;PLANALTINA;EXPANSÃO DO SETOR RESIDENCIAL LESTE;60216;UOS CSIIR 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;3;21;69000;5;80000;200;200;100;2
597623;PLANALTINA;EXPANSÃO DO SETOR RESIDENCIAL LESTE;60216;UOS CSIIR 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;3;22;69000;5;80000;200;200;100;2
599050;PLANALTINA;SETOR RESIDENCIAL LESTE (SRL);60216;UOS CSIIR 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, ONDE SÃO OBRIGATÁRIOS OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, SIMULTANEAMENTE OU NÁO, E ADMITIDO O USO RESIDENCIAL DESDE QUE ESTE NÁO OCORRA VOLTADO PARA O LOGRADOURO PÁBLICO NO NÁVEL DE CIRCULAÇÕO DO PEDESTRE. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2021;3;23;41400;5;48201.1;120;120;60;3
