CD_IMOVEL;DS_CIDADE;DS_SETOR;COD_DESTINACAO_IMOVEL;DS_DESTINACAO_IMOVEL;TIPO_USO_DESTINACAO;ANO_VENDA;NR_EDITAL;ITEM_EDITAL;VALOR_LAUDO;PERCENTUAL_ENTRADA;VALOR_VENDA;AREA_MAX_CONSTR;AREA_BASE;AREA;QTD_OFERTAS
212005;TAGUATINGA;BAIRRO AGUAS CLARAS;60220;UOS CSIIR 2 NO - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL NÁO OBRIGATÁRIO, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL, INDUSTRIAL E RESIDENCIAL, NAS CATEGORIAS HABITAÇÕO UNIFAMILIAR OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE CASAS OU HABITAÇÕO MULTIFAMILIAR EM TIPOLOGIA DE APARTAMENTOS, NÁO HAVENDO OBRIGATORIEDADE PARA QUALQUER UM DOS USOS. (VIDE ANEXO I ? TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Mista;2020;2;3;12020000;5;12300111;14932.95;8959.77;2986.59;1
474353;TAGUATINGA;AREA DES/ECONOMICO-AGUAS CLARAS;60224;UOS CSIIND 1 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2020;2;4;796000;5;796000;1600;1600;800;1
807156;BRASILIA;SHCNW-SETOR DE HABITAÇÕES COLETIVAS NOROESTE;60599;PURP 52 - INDUSTRIAL DE ALIMENTOS, DE VESTUÁRIO, DE IMPRESSÃO, DE REPRODUÇÕO, DE GRAVAÇÕES, DE PRODUTOS FARMOQUÁMICOS E FARMACÁUTICOS, COMERCIAL VAREJISTA, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL -ATIVIDADES CINEMATOGRÁFICAS, OUTRAS ATIVIDADES DE ENSINO, DE ESPORTES ETC, RESIDENCIAL HABITAÇÕO MULTIFAMILIAR. DETALHAMENTO DE ATIVIDADES, VIDE LC NÁ 1041/2024, ANEXO VII - PPCUB.;;2020;2;7;5770000;10;5900000;0;0;750;1
468873;BRASILIA;SETOR DE MULTIPLAS ATIVIDADES SUL;60572;PURP 72 - COMERCIAL - COMÁRCIO E REPARAÇÕO DE VEÁCULOS AUTOMOTORES E MOTOCICLETAS, DE VAREJISTA DE PRODUTOS ESPECIFICADOS NA LEI, COMÁRCIO POR ATACADO DE ITENS ESPECIFICADOS NA LEI, EXCETO VEÁCULOS AUTOMOTORES E MOTOCICLETAS, PRESTAÇÕO DE SERVIÁOS - AGRICULTURA, PECUÁRIA E SERVIÁOS RELACIONADOS, CONSTRUÇÕO DE EDIFÁCIOS, ALOJAMENTO, APENAS: HOTÁIS, SIMILARES E OUTROS, ALIMENTAÇÕO, TELECOMUNICAÇÕES, SEGUROS, ATIVIDADES JURÁDICAS, DE CONTABILIDADE E DE AUDITORIA, IMOBILIÁRIAS, VETERINÁRIAS ETC, INSTITUCIONAL - ADM. PÁBLICA, EDUCAÇÕO, APENAS: OUTRAS ATIVIDADES DE ENSINO, ATENÇÕO Á SAÁDE HUMANA, ATIVIDADES ARTÁSTICAS ETC. DETALHAMENTO DE ATIVIDADES, VIDE LC NÁ 1041/2024, ANEXO VII - PPCUB.;;2020;2;8;18650000;30;19407100;16115984;16115984;10072.49;1
213210;CEILANDIA;SETOR DE MATERIAL DE CONSTRUCAO              ;60225;UOS CSIIND 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2020;2;10;274000;5;340000;1800;1800;900;2
66481;CEILANDIA;SETOR INDUSTRIAL I                           ;60225;UOS CSIIND 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2020;2;11;105000;5;130250;472.5;472.5;315;2
66485;CEILANDIA;SETOR INDUSTRIAL I                           ;60225;UOS CSIIND 2 - COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, ONDE SÃO PERMITIDOS, SIMULTANEAMENTE OU NÁO, OS USOS COMERCIAL, PRESTAÇÕO DE SERVIÁOS, INSTITUCIONAL E INDUSTRIAL, LOCALIZADA NAS ÁREAS INDUSTRIAIS E DE OFICINAS, SENDO PROIBIDO O USO RESIDENCIAL. (VIDE ANEXO I - TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS) ADMITIDO O DESENVOLVIMENTO EXCLUSIVO DAS ATIVIDADES UOS PAC 2, NOS LOTES COM ÁREA SUPERIOR A 1.000 METROS QUADRADOS, NOS TERMOS DO ART. 42, LC NÁ 948/2019, COM ALTERAÇÕES DA LC NÁ 1007/2022 E DA LC NÁ 1058/2025.;Mista;2020;2;12;105000;5;140000;472.5;472.5;315;3
594322;GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;60214;UOS RO  1 - RESIDENCIAL OBRIGATÁRIO, NA CATEGORIA HABITAÇÕO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÁO RESIDENCIAL COM ATIVIDADE ECONÁMICA REALIZADA NO ÁMBITO DOMÁSTICO, NÁO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Unifamiliar;2020;2;14;224000;5;241000;388.8;388.8;162;2
594637;GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;60214;UOS RO  1 - RESIDENCIAL OBRIGATÁRIO, NA CATEGORIA HABITAÇÕO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÁO RESIDENCIAL COM ATIVIDADE ECONÁMICA REALIZADA NO ÁMBITO DOMÁSTICO, NÁO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Unifamiliar;2020;2;15;230000;5;301010;399.6;399.6;166.5;3
594679;GUARA;SETOR RESID INDUSTRIA E ABASTECIMENTO        ;60214;UOS RO  1 - RESIDENCIAL OBRIGATÁRIO, NA CATEGORIA HABITAÇÕO UNIFAMILIAR, SENDO FACULTADO, SIMULTANEAMENTE, O USO NÁO RESIDENCIAL COM ATIVIDADE ECONÁMICA REALIZADA NO ÁMBITO DOMÁSTICO, NÁO SENDO AUTORIZADO O ACESSO INDEPENDENTE (VIDE ANEXO I-TABELA DE USOS E ATIVIDADES DA LUOS E/OU ADM. REGIONAL PARA ATIVIDADES PERMITIDAS);Unifamiliar;2020;2;16;283000;5;351500;504072;504072;210.03;6
